,Tamb_forecast_1,Tamb_forecast_2,Tamb_forecast_3,Tamb_forecast_4,Tamb_forecast_5,Tamb_forecast_6,Tamb_forecast_7,Tamb_forecast_8,Tamb_forecast_9,Tamb_forecast_10,Tamb_forecast_11,Tamb_forecast_12,Tamb_forecast_13,Tamb_forecast_14,Tamb_forecast_15,Tamb_forecast_16,Tamb_forecast_17,Tamb_forecast_18,Tamb_forecast_19,Tamb_forecast_20,Tamb_forecast_21,Tamb_forecast_22,Tamb_forecast_23,clear_sky_forecast_1,clear_sky_forecast_2,clear_sky_forecast_3,clear_sky_forecast_4,clear_sky_forecast_5,clear_sky_forecast_6,clear_sky_forecast_7,clear_sky_forecast_8,clear_sky_forecast_9,clear_sky_forecast_10,clear_sky_forecast_11,clear_sky_forecast_12,clear_sky_forecast_13,clear_sky_forecast_14,clear_sky_forecast_15,clear_sky_forecast_16,clear_sky_forecast_17,clear_sky_forecast_18,clear_sky_forecast_19,clear_sky_forecast_20,clear_sky_forecast_21,clear_sky_forecast_22,clear_sky_forecast_23,cloud_cover_forecast_1,cloud_cover_forecast_2,cloud_cover_forecast_3,cloud_cover_forecast_4,cloud_cover_forecast_5,cloud_cover_forecast_6,cloud_cover_forecast_7,cloud_cover_forecast_8,cloud_cover_forecast_9,cloud_cover_forecast_10,cloud_cover_forecast_11,cloud_cover_forecast_12,cloud_cover_forecast_13,cloud_cover_forecast_14,cloud_cover_forecast_15,cloud_cover_forecast_16,cloud_cover_forecast_17,cloud_cover_forecast_18,cloud_cover_forecast_19,cloud_cover_forecast_20,cloud_cover_forecast_21,cloud_cover_forecast_22,cloud_cover_forecast_23,Ppv_dminus1_forecast_1,Ppv_dminus1_forecast_2,Ppv_dminus1_forecast_3,Ppv_dminus1_forecast_4,Ppv_dminus1_forecast_5,Ppv_dminus1_forecast_6,Ppv_dminus1_forecast_7,Ppv_dminus1_forecast_8,Ppv_dminus1_forecast_9,Ppv_dminus1_forecast_10,Ppv_dminus1_forecast_11,Ppv_dminus1_forecast_12,Ppv_dminus1_forecast_13,Ppv_dminus1_forecast_14,Ppv_dminus1_forecast_15,Ppv_dminus1_forecast_16,Ppv_dminus1_forecast_17,Ppv_dminus1_forecast_18,Ppv_dminus1_forecast_19,Ppv_dminus1_forecast_20,Ppv_dminus1_forecast_21,Ppv_dminus1_forecast_22,Ppv_dminus1_forecast_23,Ppv_forecast_1,Ppv_forecast_2,Ppv_forecast_3,Ppv_forecast_4,Ppv_forecast_5,Ppv_forecast_6,Ppv_forecast_7,Ppv_forecast_8,Ppv_forecast_9,Ppv_forecast_10,Ppv_forecast_11,Ppv_forecast_12,Ppv_forecast_13,Ppv_forecast_14,Ppv_forecast_15,Ppv_forecast_16,Ppv_forecast_17,Ppv_forecast_18,Ppv_forecast_19,Ppv_forecast_20,Ppv_forecast_21,Ppv_forecast_22,Ppv_forecast_23
7/21/2018 9:00,18.3,20,21.1,22.2,22.8,22.8,22.8,22.2,22.2,21.1,19.4,17.2,16.7,15.6,15.6,15,15,15,14.4,14.4,14.4,14.4,15.6,679.1326082,824.2850044,922.3165346,965.8914288,951.802797,881.0674226,758.8946251,594.5689456,401.6017196,199.9938704,35.41621519,0,0,0,0,0,0,0,0,0,0,103.6462054,295.8554502,54,25,25,25,25,25,25,11,11,11,11,11,11,51,51,51,51,51,51,52,52,52,52,1260.115656,2238.254739,2558.489127,2587.35389,2479.181222,2261.350632,1842.861048,1276.015238,569.0289756,129.6488702,6.450427093,0,4.398761815,3.474860109,0,0,1.304372987,4.703538646,11.26817178,2.522124325,9.488497635,131.2872338,344.2536303,1288.767675,2109.302937,2550.035278,2586.524348,2466.13119,2191.011433,1733.403675,1144.79161,462.4295084,144.6169281,3.234688314,0,12.76020833,1.048312135,0,1.322875656,5.42172181,8.736080393,2.907425837,4.852564992,2.01549081,85.5674189,224.5142664
7/21/2018 10:00,18.3,20,21.1,22.2,22.8,22.8,22.8,22.2,22.2,21.1,19.4,17.2,16.7,15.6,15.6,15,15,15,14.4,14.4,14.4,14.4,15.6,679.1326082,824.2850044,922.3165346,965.8914288,951.802797,881.0674226,758.8946251,594.5689456,401.6017196,199.9938704,35.41621519,0,0,0,0,0,0,0,0,0,0,103.6462054,295.8554502,54,25,25,25,25,25,25,11,11,11,11,11,11,51,51,51,51,51,51,52,52,52,52,2238.254739,2558.489127,2587.35389,2479.181222,2261.350632,1842.861048,1276.015238,569.0289756,129.6488702,6.450427093,0,4.398761815,3.474860109,0,0,1.304372987,4.703538646,11.26817178,2.522124325,9.488497635,131.2872338,344.2536303,928.030806,2109.302937,2550.035278,2586.524348,2466.13119,2191.011433,1733.403675,1144.79161,462.4295084,144.6169281,3.234688314,0,12.76020833,1.048312135,0,1.322875656,5.42172181,8.736080393,2.907425837,4.852564992,2.01549081,85.5674189,224.5142664,485.3875053
7/21/2018 11:00,20,21.1,22.2,22.8,22.8,22.8,22.2,22.2,21.1,19.4,17.2,16.7,15.6,15.6,15,15,15,14.4,14.4,14.4,14.4,15.6,16.7,824.2850044,922.3165346,965.8914288,951.802797,881.0674226,758.8946251,594.5689456,401.6017196,199.9938704,35.41621519,0,0,0,0,0,0,0,0,0,0,103.6462054,295.8554502,496.4521898,25,25,25,25,25,25,11,11,11,11,11,11,51,51,51,51,51,51,52,52,52,52,52,2558.489127,2587.35389,2479.181222,2261.350632,1842.861048,1276.015238,569.0289756,129.6488702,6.450427093,0,4.398761815,3.474860109,0,0,1.304372987,4.703538646,11.26817178,2.522124325,9.488497635,131.2872338,344.2536303,928.030806,1288.767675,2550.035278,2586.524348,2466.13119,2191.011433,1733.403675,1144.79161,462.4295084,144.6169281,3.234688314,0,12.76020833,1.048312135,0,1.322875656,5.42172181,8.736080393,2.907425837,4.852564992,2.01549081,85.5674189,224.5142664,485.3875053,1230.617007
7/21/2018 12:00,21.1,22.2,22.8,22.8,22.8,22.2,22.2,21.1,19.4,17.2,16.7,15.6,15.6,15,15,15,14.4,14.4,14.4,14.4,15.6,16.7,18.3,922.3165346,965.8914288,951.802797,881.0674226,758.8946251,594.5689456,401.6017196,199.9938704,35.41621519,0,0,0,0,0,0,0,0,0,0,103.6462054,295.8554502,496.4521898,677.5799204,25,25,25,25,25,11,11,11,11,11,11,51,51,51,51,51,51,52,52,52,52,52,52,2587.35389,2479.181222,2261.350632,1842.861048,1276.015238,569.0289756,129.6488702,6.450427093,0,4.398761815,3.474860109,0,0,1.304372987,4.703538646,11.26817178,2.522124325,9.488497635,131.2872338,344.2536303,928.030806,1288.767675,2109.302937,2586.524348,2466.13119,2191.011433,1733.403675,1144.79161,462.4295084,144.6169281,3.234688314,0,12.76020833,1.048312135,0,1.322875656,5.42172181,8.736080393,2.907425837,4.852564992,2.01549081,85.5674189,224.5142664,485.3875053,1230.617007,2401.801264
7/21/2018 13:00,22.2,22.8,22.8,22.8,22.2,22.2,21.1,19.4,17.2,16.7,15.6,15.6,15,15,15,14.4,14.4,14.4,14.4,15.6,16.7,18.3,19.4,965.8914288,951.802797,881.0674226,758.8946251,594.5689456,401.6017196,199.9938704,35.41621519,0,0,0,0,0,0,0,0,0,0,103.6462054,295.8554502,496.4521898,677.5799204,822.9570455,25,25,25,25,11,11,11,11,11,11,51,51,51,51,51,51,52,52,52,52,52,52,13,2479.181222,2261.350632,1842.861048,1276.015238,569.0289756,129.6488702,6.450427093,0,4.398761815,3.474860109,0,0,1.304372987,4.703538646,11.26817178,2.522124325,9.488497635,131.2872338,344.2536303,928.030806,1288.767675,2109.302937,2550.035278,2466.13119,2191.011433,1733.403675,1144.79161,462.4295084,144.6169281,3.234688314,0,12.76020833,1.048312135,0,1.322875656,5.42172181,8.736080393,2.907425837,4.852564992,2.01549081,85.5674189,224.5142664,485.3875053,1230.617007,2401.801264,2567.336411
7/21/2018 14:00,22.8,22.8,22.8,22.2,22.2,21.1,19.4,17.2,16.7,15.6,15.6,15,15,15,14.4,14.4,14.4,14.4,15.6,16.7,18.3,19.4,21.1,951.802797,881.0674226,758.8946251,594.5689456,401.6017196,199.9938704,35.41621519,0,0,0,0,0,0,0,0,0,0,103.6462054,295.8554502,496.4521898,677.5799204,822.9570455,921.1570943,25,25,25,11,11,11,11,11,11,51,51,51,51,51,51,52,52,52,52,52,52,13,13,2261.350632,1842.861048,1276.015238,569.0289756,129.6488702,6.450427093,0,4.398761815,3.474860109,0,0,1.304372987,4.703538646,11.26817178,2.522124325,9.488497635,131.2872338,344.2536303,928.030806,1288.767675,2109.302937,2550.035278,2586.524348,2191.011433,1733.403675,1144.79161,462.4295084,144.6169281,3.234688314,0,12.76020833,1.048312135,0,1.322875656,5.42172181,8.736080393,2.907425837,4.852564992,2.01549081,85.5674189,224.5142664,485.3875053,1230.617007,2401.801264,2567.336411,2604.216059
7/21/2018 15:00,22.8,22.8,22.8,22.2,21.1,19.4,17.2,16.7,16.1,15.6,15,15,15,14.4,14.4,14.4,14.4,15.6,16.7,18.3,19.4,21.1,22.2,881.0674226,758.8946251,594.5689456,401.6017196,199.9938704,35.41621519,0,0,0,0,0,0,0,0,0,0,103.6462054,295.8554502,496.4521898,677.5799204,822.9570455,921.1570943,964.827614,15,15,12,12,12,12,12,12,46,46,46,46,46,46,53,53,53,53,53,53,22,22,22,1842.861048,1276.015238,569.0289756,129.6488702,6.450427093,0,4.398761815,3.474860109,0,0,1.304372987,4.703538646,11.26817178,2.522124325,9.488497635,131.2872338,344.2536303,928.030806,1288.767675,2109.302937,2550.035278,2586.524348,2466.13119,1733.403675,1144.79161,462.4295084,144.6169281,3.234688314,0,12.76020833,1.048312135,0,1.322875656,5.42172181,8.736080393,2.907425837,4.852564992,2.01549081,85.5674189,224.5142664,485.3875053,1230.617007,2401.801264,2567.336411,2604.216059,2480.558229
7/21/2018 16:00,22.8,22.8,22.2,21.1,19.4,17.2,16.7,16.1,15.6,15,15,15,14.4,14.4,14.4,14.4,15.6,16.7,18.3,19.4,21.1,22.2,22.8,758.8946251,594.5689456,401.6017196,199.9938704,35.41621519,0,0,0,0,0,0,0,0,0,0,103.6462054,295.8554502,496.4521898,677.5799204,822.9570455,921.1570943,964.827614,950.7532316,15,12,12,12,12,12,12,46,46,46,46,46,46,53,53,53,53,53,53,22,22,22,22,1276.015238,569.0289756,129.6488702,6.450427093,0,4.398761815,3.474860109,0,0,1.304372987,4.703538646,11.26817178,2.522124325,9.488497635,131.2872338,344.2536303,928.030806,1288.767675,2109.302937,2550.035278,2586.524348,2466.13119,2191.011433,1144.79161,462.4295084,144.6169281,3.234688314,0,12.76020833,1.048312135,0,1.322875656,5.42172181,8.736080393,2.907425837,4.852564992,2.01549081,85.5674189,224.5142664,485.3875053,1230.617007,2401.801264,2567.336411,2604.216059,2480.558229,2226.816763
7/21/2018 17:00,22.8,22.2,21.1,19.4,17.2,16.7,16.1,15.6,15,15,15,14.4,14.4,14.4,14.4,15.6,16.7,18.3,19.4,21.1,22.2,22.8,23.3,594.5689456,401.6017196,199.9938704,35.41621519,0,0,0,0,0,0,0,0,0,0,103.6462054,295.8554502,496.4521898,677.5799204,822.9570455,921.1570943,964.827614,950.7532316,879.9497276,12,12,12,12,12,12,46,46,46,46,46,46,53,53,53,53,53,53,22,22,22,22,22,569.0289756,129.6488702,6.450427093,0,4.398761815,3.474860109,0,0,1.304372987,4.703538646,11.26817178,2.522124325,9.488497635,131.2872338,344.2536303,928.030806,1288.767675,2109.302937,2550.035278,2586.524348,2466.13119,2191.011433,1733.403675,462.4295084,144.6169281,3.234688314,0,12.76020833,1.048312135,0,1.322875656,5.42172181,8.736080393,2.907425837,4.852564992,2.01549081,85.5674189,224.5142664,485.3875053,1230.617007,2401.801264,2567.336411,2604.216059,2480.558229,2226.816763,1853.687209
7/21/2018 18:00,22.2,21.1,19.4,17.2,16.7,16.1,15.6,15,15,15,14.4,14.4,14.4,14.4,15.6,16.7,18.3,19.4,21.1,22.2,22.8,23.3,22.8,401.6017196,199.9938704,35.41621519,0,0,0,0,0,0,0,0,0,0,103.6462054,295.8554502,496.4521898,677.5799204,822.9570455,921.1570943,964.827614,950.7532316,879.9497276,757.6332033,12,12,12,12,12,46,46,46,46,46,46,53,53,53,53,53,53,22,22,22,22,22,22,129.6488702,6.450427093,0,4.398761815,3.474860109,0,0,1.304372987,4.703538646,11.26817178,2.522124325,9.488497635,131.2872338,344.2536303,928.030806,1288.767675,2109.302937,2550.035278,2586.524348,2466.13119,2191.011433,1733.403675,1144.79161,144.6169281,3.234688314,0,12.76020833,1.048312135,0,1.322875656,5.42172181,8.736080393,2.907425837,4.852564992,2.01549081,85.5674189,224.5142664,485.3875053,1230.617007,2401.801264,2567.336411,2604.216059,2480.558229,2226.816763,1853.687209,1317.936621
7/21/2018 19:00,21.1,19.4,17.2,16.7,16.1,15.6,15,15,15,14.4,14.4,14.4,14.4,15.6,16.7,18.3,19.4,21.1,22.2,22.8,23.3,22.8,22.8,199.9938704,35.41621519,0,0,0,0,0,0,0,0,0,0,103.6462054,295.8554502,496.4521898,677.5799204,822.9570455,921.1570943,964.827614,950.7532316,879.9497276,757.6332033,593.1048084,12,12,12,12,46,46,46,46,46,46,53,53,53,53,53,53,22,22,22,22,22,22,22,6.450427093,0,4.398761815,3.474860109,0,0,1.304372987,4.703538646,11.26817178,2.522124325,9.488497635,131.2872338,344.2536303,928.030806,1288.767675,2109.302937,2550.035278,2586.524348,2466.13119,2191.011433,1733.403675,1144.79161,462.4295084,3.234688314,0,12.76020833,1.048312135,0,1.322875656,5.42172181,8.736080393,2.907425837,4.852564992,2.01549081,85.5674189,224.5142664,485.3875053,1230.617007,2401.801264,2567.336411,2604.216059,2480.558229,2226.816763,1853.687209,1317.936621,717.7188388
7/21/2018 20:00,19.4,17.2,16.7,16.1,15.6,15,15,15,14.4,14.4,14.4,14.4,15.6,16.7,18.3,19.4,21.1,22.2,22.8,23.3,22.8,22.8,22.2,35.41621519,0,0,0,0,0,0,0,0,0,0,103.6462054,295.8554502,496.4521898,677.5799204,822.9570455,921.1570943,964.827614,950.7532316,879.9497276,757.6332033,593.1048084,399.911781,0,0,0,46,46,46,46,46,46,53,53,53,53,53,53,22,22,22,22,22,22,22,22,0,4.398761815,3.474860109,0,0,1.304372987,4.703538646,11.26817178,2.522124325,9.488497635,131.2872338,344.2536303,928.030806,1288.767675,2109.302937,2550.035278,2586.524348,2466.13119,2191.011433,1733.403675,1144.79161,462.4295084,144.6169281,0,12.76020833,1.048312135,0,1.322875656,5.42172181,8.736080393,2.907425837,4.852564992,2.01549081,85.5674189,224.5142664,485.3875053,1230.617007,2401.801264,2567.336411,2604.216059,2480.558229,2226.816763,1853.687209,1317.936621,717.7188388,136.9431715
